navio_/_viagem.1,fim_operação,liberação_rfb,atraso_rfb
VICENTE PINZON,2024-12-08 13:23:00,2024-12-08 17:30:00,4.116666666666666
CONCORDIA,2024-04-09 21:46:00,2024-05-09 17:00:00,715.2333333333333
MAERSK MONTE ALEGRE,2024-01-09 21:24:00,2024-01-09 22:30:00,1.1
PEDRO ALVARES CABRAL,2024-02-09 03:51:00,2024-02-09 07:00:00,3.15
COSCO CHANG SHENG,2024-03-09 06:20:00,2024-03-09 09:00:00,2.6666666666666665
CMA CGM AMAZON,2024-04-09 13:38:00,2024-04-09 16:30:00,2.8666666666666667
HANS SCHULTE,2024-05-09 02:26:00,2024-05-09 03:45:00,1.3166666666666667
HONG YAN,2024-05-09 21:00:00,2024-08-09 19:18:00,2206.3
MSC NOA,2024-07-09 00:15:00,2024-07-09 03:17:00,3.033333333333333
SEBASTIAO CABOTO,2024-10-09 09:02:00,2024-10-09 10:30:00,1.4666666666666666
MSC ALTAMIRA,2024-10-09 14:57:00,2024-10-09 17:30:00,2.55
LOGIN JATOBA,2024-12-09 05:47:00,2024-12-09 08:00:00,2.216666666666667
CMA CGM SANTOS,2024-01-10 02:16:00,2024-01-10 04:00:00,1.7333333333333334
CAUQUENES,2024-02-10 16:16:00,2024-02-10 19:20:00,3.066666666666667
GREEN RIO DE JANEIRO,2024-03-10 11:33:00,2024-03-10 14:30:00,2.95
AMERICO VESPUCIO,2024-03-10 11:55:00,2024-03-10 13:00:00,1.0833333333333333
MSC CADIZ,2024-04-10 08:25:00,2024-04-10 15:00:00,6.583333333333333
MSC ATHENS,2024-05-10 12:02:00,2024-05-10 14:00:00,1.9666666666666666
CMA CGM MAUPASSANT,2024-06-10 02:12:00,2024-06-10 03:45:00,1.55
LOGIN ENDURANCE,2024-06-10 12:58:00,2024-06-10 14:00:00,1.0333333333333334
BARTOLOMEU DIAS,2024-08-10 04:13:00,2024-08-10 07:01:00,2.8
MAERSK LEON,2024-08-10 14:34:00,2024-08-10 16:19:00,1.75
MONTE PASCOAL,2024-09-10 05:52:00,2024-09-10 09:00:00,3.1333333333333333
PEDRO ALVARES CABRAL,2024-09-10 02:58:00,2024-09-10 09:00:00,6.033333333333333
MSC ATHOS,2024-10-10 00:57:00,2024-10-10 03:15:00,2.3
LOGIN POLARIS,2024-10-10 08:02:00,2024-10-10 09:15:00,1.2166666666666666
CMA CGM MERCANTOUR,2024-11-10 00:01:00,2024-11-10 02:00:00,1.9833333333333334
COSCO SHIPPING GRACE,2024-11-10 03:13:00,2024-11-10 06:45:00,3.533333333333333
MSC VITA,2024-12-10 08:56:00,2024-12-10 11:00:00,2.066666666666667
LOGIN DISCOVERY,2024-12-10 16:18:00,2024-12-10 18:25:00,2.1166666666666667
MSC CHANNE,2024-01-11 04:04:00,2024-01-11 05:16:00,1.2
GREEN KEMI,2024-06-11 02:44:00,2024-06-11 04:45:00,2.0166666666666666
BARTOLOMEU DIAS,2024-04-11 02:35:00,2024-04-11 07:30:00,4.916666666666667
MONTE TAMARO,2024-08-11 08:26:00,2024-08-11 10:18:00,1.8666666666666667
BF HAMBURG,2024-09-11 10:16:00,2024-09-11 14:45:00,4.483333333333333
LOGIN DISCOVERY,2024-10-11 10:55:00,2024-10-11 12:19:00,1.4
MSC CLEA,2024-11-11 03:05:00,2024-11-11 04:17:00,1.2
LOGIN JACARANDA,2024-11-11 02:42:00,2024-11-11 04:17:00,1.5833333333333333
EVER GRACE,2024-11-12 14:40:00,2024-11-12 20:30:00,5.833333333333333
SEBASTIAO CABOTO,2024-01-12 00:26:00,2024-01-12 03:30:00,3.066666666666667
MSC LEVINA III,2024-07-12 06:54:00,2024-07-12 12:15:00,5.35
GREEN PORTOCEL,2024-02-12 02:09:00,2024-02-12 03:17:00,1.1333333333333333
MSC ADONIS,2024-04-12 13:13:00,2024-04-12 14:15:00,1.0333333333333334
MSC SAVONA,2024-05-12 03:07:00,2024-05-12 04:15:00,1.1333333333333333
CORELLA ARROW,2024-05-12 09:30:00,2024-06-12 14:15:00,748.75
COSCO SHIPPING XING WANG,2024-05-12 13:30:00,2024-05-12 14:45:00,1.25
MSC DOUALA VIII,2024-07-12 15:55:00,2024-07-12 17:19:00,1.4
MSC ORION,2024-12-12 01:21:00,2024-12-12 06:00:00,4.65
MSC PILAR VI,2025-02-01 07:22:00,2025-02-01 11:00:00,3.6333333333333333
LOGIN JATOBA,2025-03-01 09:30:00,2025-03-01 11:00:00,1.5
MSC ATHENS,2025-02-01 20:21:00,2025-02-01 22:00:00,1.65
MAERSK GANGES,2025-07-01 01:33:00,2025-07-01 07:30:00,5.95
WIELAND,2025-09-01 17:50:00,2025-09-01 19:45:00,1.9166666666666667
ALESSIA,2025-10-01 05:37:00,2025-10-01 08:45:00,3.1333333333333333
LOGIN DISCOVERY,2025-11-01 11:42:00,2025-11-01 12:45:00,1.05
MSC EUGENIA,2025-12-01 07:34:00,2025-12-01 11:45:00,4.183333333333334
LOGIN ENDURANCE,2025-01-02 06:26:00,2025-01-02 11:30:00,5.066666666666666
BELOV PIATÃ,2025-01-02 08:30:00,2025-01-02 09:45:00,1.25
JIN RUI 82,2025-06-02 03:30:00,2025-07-02 13:00:00,729.5
LOGIN JATOBA,2025-02-02 02:09:00,2025-02-02 04:00:00,1.85
BF HAMBURG,2025-05-02 10:26:00,2025-05-02 12:30:00,2.066666666666667
ENSENADA,2025-06-02 10:04:00,2025-06-02 12:15:00,2.183333333333333
MSC BARBARA,2025-07-02 02:10:00,2025-07-02 03:30:00,1.3333333333333333
LOGIN DISCOVERY,2025-08-02 14:02:00,2025-08-02 15:15:00,1.2166666666666666
BELOV PIATÃ,2025-08-02 08:30:00,2025-08-02 10:00:00,1.5
MAERSK LEON,2025-11-02 09:20:00,2025-11-02 11:00:00,1.6666666666666667
BELOV PIATÃ,2025-12-02 12:10:00,2025-12-02 13:45:00,1.5833333333333333
LOGIN ENDURANCE,2025-01-03 21:02:00,2025-01-03 23:16:00,2.2333333333333334
LOGIN POLARIS,2025-02-03 13:27:00,2025-02-03 16:00:00,2.55
VICENTE PINZON,2025-03-03 12:28:00,2025-03-03 14:00:00,1.5333333333333334
MAERSK MONTE LINZOR,2025-06-03 23:53:00,2025-07-03 03:16:00,699.3833333333333
MSC ANTONIA,2025-10-03 08:00:00,2025-10-03 11:16:00,3.2666666666666666
CARDIFF,2025-03-04 16:21:00,2025-03-04 17:30:00,1.15
SEBASTIAO CABOTO,2025-03-04 17:09:00,2025-03-04 20:30:00,3.35
MSC VITA,2025-04-04 09:09:00,2025-04-04 10:17:00,1.1333333333333333
MSC ELLEN,2025-06-04 08:26:00,2025-06-04 10:00:00,1.5666666666666667
BORDO MAVI,2025-09-04 17:05:00,2025-09-04 21:15:00,4.166666666666667
BARTOLOMEU DIAS,2025-07-04 07:59:00,2025-07-04 11:00:00,3.0166666666666666
GREEN MUNGUBA,2025-07-04 15:40:00,2025-07-04 16:45:00,1.0833333333333333
FERNAO DE MAGALHAES,2025-11-04 04:26:00,2025-11-04 05:45:00,1.3166666666666667
LAEM CHABANG EXPRESS,2025-12-04 16:36:00,2025-12-04 18:00:00,1.4
LOGIN JACARANDA,2025-01-05 16:08:00,2025-01-05 17:16:00,1.1333333333333333
MAERSK MONTE AZUL,2025-02-05 04:43:00,2025-02-05 06:00:00,1.2833333333333334
LOGIN DISCOVERY,2025-03-05 10:58:00,2025-03-05 12:30:00,1.5333333333333334
MSC QINGDAO,2025-03-05 07:32:00,2025-03-05 09:00:00,1.4666666666666666
LOGIN EVOLUTION,2025-04-05 00:45:00,2025-04-05 03:45:00,3.0
BELOV PIATÃ,2025-07-05 04:45:00,2025-07-05 08:16:00,3.5166666666666666
MAERSK GANGES,2025-12-05 18:52:00,2025-12-05 20:16:00,1.4
ALBATROSS,2025-01-06 12:00:00,2025-02-06 08:15:00,740.25
LOGIN EVOLUTION,2025-01-06 01:58:00,2025-01-06 03:16:00,1.3
