navio_/_viagem.1,início_operação,fim_operação,tempo_porto
ATHENS GLORY,2025-05-02 08:15:00,2025-06-02 05:03:00,740.8
ENSENADA,2025-05-02 15:43:00,2025-06-02 10:04:00,738.35
MSC BARBARA,2025-06-02 16:27:00,2025-07-02 02:10:00,705.7166666666667
XIAMEN EXPRESS,2025-07-02 00:13:00,2025-08-02 11:21:00,755.1333333333333
LOGIN DISCOVERY,2025-07-02 16:08:00,2025-08-02 14:02:00,741.9
BELOV PIATÃ,2025-07-02 18:40:00,2025-08-02 08:30:00,733.8333333333334
VICENTE PINZON,2025-09-02 16:50:00,2025-10-02 06:22:00,709.5333333333333
MAERSK LEON,2025-10-02 22:46:00,2025-11-02 09:20:00,730.5666666666667
BELOV PIATÃ,2025-11-02 19:00:00,2025-12-02 12:10:00,713.1666666666666
VICENTE PINZON,2025-02-03 16:57:00,2025-03-03 12:28:00,667.5166666666667
MAERSK LOTA,2025-03-03 20:57:00,2025-04-03 10:35:00,733.6333333333333
CMA CGM MERCANTOUR,2025-07-03 00:13:00,2025-08-03 18:11:00,761.9666666666667
LOGIN DISCOVERY,2025-07-03 15:43:00,2025-08-03 16:06:00,744.3833333333333
LOGIN EVOLUTION,2025-08-03 19:57:00,2025-09-03 05:56:00,729.9833333333333
MSC ANTONIA,2025-09-03 00:29:00,2025-10-03 08:00:00,727.5166666666667
MAERSK GANGES,2025-09-03 16:50:00,2025-10-03 06:25:00,709.5833333333334
CZECH,2025-10-03 15:50:00,2025-11-03 22:57:00,751.1166666666667
CMA CGM COLUMBIA,2025-10-03 21:50:00,2025-11-03 16:23:00,738.55
LOGIN EXPERIENCE,2025-11-03 21:06:00,2025-12-03 03:59:00,702.8833333333333
MSC NIGERIA,2025-01-04 12:08:00,2025-02-04 06:04:00,737.9333333333333
CARDIFF,2025-01-04 15:49:00,2025-03-04 16:21:00,1416.5333333333333
MONTE TAMARO,2025-03-04 20:44:00,2025-04-04 02:31:00,725.7833333333333
LOGIN DISCOVERY,2025-04-04 15:29:00,2025-05-04 07:55:00,712.4333333333333
MSC ELLEN,2025-05-04 07:30:00,2025-06-04 08:26:00,744.9333333333333
LOGIN EVOLUTION,2025-05-04 19:16:00,2025-06-04 04:43:00,729.45
BORDO MAVI,2025-06-04 12:00:00,2025-09-04 17:05:00,2213.0833333333335
BARTOLOMEU DIAS,2025-06-04 15:49:00,2025-07-04 07:59:00,712.1666666666666
CMA CGM SANTOS,2025-11-04 09:41:00,2025-12-04 08:24:00,718.7166666666667
LAEM CHABANG EXPRESS,2025-11-04 16:28:00,2025-12-04 16:36:00,720.1333333333333
MAERSK MONTE AZUL,2025-01-05 21:53:00,2025-02-05 04:43:00,726.8333333333334
SEBASTIAO CABOTO,2025-01-05 23:51:00,2025-02-05 17:47:00,737.9333333333333
LOGIN DISCOVERY,2025-02-05 15:45:00,2025-03-05 10:58:00,667.2166666666667
MSC QINGDAO,2025-02-05 22:33:00,2025-03-05 07:32:00,656.9833333333333
LOGIN EVOLUTION,2025-03-05 19:08:00,2025-04-05 00:45:00,725.6166666666667
VICENTE PINZON,2025-04-05 16:42:00,2025-05-05 04:28:00,707.7666666666667
MSC JUSTICE VIII,2025-05-05 08:55:00,2025-06-05 00:26:00,735.5166666666667
BELOV PIATÃ,2025-06-05 19:00:00,2025-07-05 04:45:00,705.75
MAERSK MONTE ALEGRE,2025-08-05 20:30:00,2025-09-05 00:08:00,723.6333333333333
MERCOSUL SUAPE,2025-09-05 14:36:00,2025-10-05 06:18:00,711.7
